0,0,0,0,0
-0.02,0.63641,0.02,0.63641,0.65641
0,0,0,0,0
-0.02,0.211578,0.02,0.211578,0.231578
0,0,0,0,0
-0.02,0.126275,0.02,0.126275,0.146275
0,0,0,0,0
-0.02,0.089475,0.02,0.089475,0.109475
0,0,0,0,0
-0.02,0.06884,0.02,0.06884,0.08884
0,0,0,0,0
-0.02,0.055552,0.02,0.055552,0.075552
0,0,0,0,0
-0.02,0.046217,0.02,0.046217,0.066217
0,0,0,0,0
-0.02,0.039252,0.02,0.039252,0.059252
0,0,0,0,0
-0.02,0.033818,0.02,0.033818,0.053818
0,0,0,0,0
-0.02,0.029429,0.02,0.029429,0.049429
0,0,0,0,0
-0.02,0.025784,0.02,0.025784,0.045784
0,0,0,0,0
-0.02,0.022686,0.02,0.022686,0.042686
0,0,0,0,0
-0.02,0.02,0.02,0.02,0.04
0,0,0,0,0
-0.02,0.017632,0.02,0.017632,0.037632
0,0,0,0,0
-0.02,0.015514,0.02,0.015514,0.035514
0,0,0,0,0
-0.02,0.013592,0.02,0.013592,0.033592
0,0,0,0,0
-0.02,0.011828,0.02,0.011828,0.031828
0,0,0,0,0
-0.02,0.010191,0.02,0.010191,0.030191
0,0,0,0,0
-0.02,0.008655,0.02,0.008655,0.028655
0,0,0,0,0
-0.02,0.0072,0.02,0.0072,0.0272
0,0,0,0,0
-0.02,0.005811,0.02,0.005811,0.025811
0,0,0,0,0
-0.02,0.004471,0.02,0.004471,0.024471
0,0,0,0,0
-0.02,0.003168,0.02,0.003168,0.023168
0,0,0,0,0
-0.02,0.001891,0.02,0.001891,0.021891
0,0,0,0,0
-0.02,0.000629,0.02,0.000629,0.020629
0,0,0,0,0
-0.02,-0.000629,0.02,0.000629,0.020629
0,0,0,0,0
-0.02,-0.001891,0.02,0.001891,0.021891
0,0,0,0,0
-0.02,-0.003168,0.02,0.003168,0.023168
0,0,0,0,0
-0.02,-0.004471,0.02,0.004471,0.024471
0,0,0,0,0
-0.02,-0.005811,0.02,0.005811,0.025811
0,0,0,0,0
-0.02,-0.0072,0.02,0.0072,0.0272
0,0,0,0,0
-0.02,-0.008655,0.02,0.008655,0.028655
0,0,0,0,0
-0.02,-0.010191,0.02,0.010191,0.030191
0,0,0,0,0
-0.02,-0.011828,0.02,0.011828,0.031828
0,0,0,0,0
-0.02,-0.013592,0.02,0.013592,0.033592
0,0,0,0,0
-0.02,-0.015514,0.02,0.015514,0.035514
0,0,0,0,0
-0.02,-0.017632,0.02,0.017632,0.037632
0,0,0,0,0
-0.02,-0.02,0.02,0.02,0.04
0,0,0,0,0
-0.02,-0.022686,0.02,0.022686,0.042686
0,0,0,0,0
-0.02,-0.025784,0.02,0.025784,0.045784
0,0,0,0,0
-0.02,-0.029429,0.02,0.029429,0.049429
0,0,0,0,0
-0.02,-0.033818,0.02,0.033818,0.053818
0,0,0,0,0
-0.02,-0.039252,0.02,0.039252,0.059252
0,0,0,0,0
-0.02,-0.046217,0.02,0.046217,0.066217
0,0,0,0,0
-0.02,-0.055552,0.02,0.055552,0.075552
0,0,0,0,0
-0.02,-0.06884,0.02,0.06884,0.08884
0,0,0,0,0
-0.02,-0.089475,0.02,0.089475,0.109475
0,0,0,0,0
-0.02,-0.126275,0.02,0.126275,0.146275
0,0,0,0,0
-0.02,-0.211578,0.02,0.211578,0.231578
0,0,0,0,0
-0.02,-0.63641,0.02,0.63641,0.65641
